Category,Type1,Type2,Type3,Type4,Type5,Type6,Type7
2003,12742,169912,3005564,362518,132649,1506974,135893
2005,13785,166569,3098723,401413,6300,1432942,206618
2010,66408,162629,2774437,612505,148823,1433723,127594
2033,44394,231113,2477356,929417,39413,1453586,150790
2034,52307,230284,2437464,966088,46166,1445867,147287
2035,53154,232528,2418648,984400,44502,1445330,146896
2036,54001,234770,2399828,1002708,42839,1444794,146506
2037,54848,237014,2381012,1021020,41175,1444258,146116
2038,55694,239256,2362192,1039328,39512,1443722,145726
2039,56541,241500,2343376,1057636,37848,1443186,145335
2040,57388,243742,2324556,1075948,36184,1442650,144945
2041,58235,245986,2305740,1094256,34520,1442114,144555
2042,59082,248228,2286920,1112568,32857,1441578,144165
2043,59929,250472,2268104,1130876,31193,1441042,143774
2044,60776,252714,2249284,1149184,29530,1440505,143384
2045,61623,254958,2230468,1167496,27866,1439969,142994
2046,62470,257200,2211648,1185804,26202,1439433,142604
2047,63317,259444,2192832,1204116,24538,1438897,142213
2048,64164,261686,2174012,1222424,22875,1438361,141823
2049,65010,263930,2155192,1240732,21211,1437825,141433
2050,65857,266172,2136376,1259044,19548,1437289,141043
2051,66704,268416,2117556,1277352,17884,1436752,140652
2052,67551,270658,2098740,1295664,16220,1436216,140262
2053,68398,272902,2079920,1313972,14556,1435680,139872
