Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.123557,0.21865,0.0571429,0.0252408,0.21118,0.736219,0.215585,0.171841,0.900273,0.106206,0.174176,0.0732791,0.457499,0.0033016,0.0085276,0.448041,1
0.116676,0.221865,0.0514286,0.0303343,0.223602,0.722046,0.2185,0.146212,0.840416,0.152547,0.165882,0.0527081,0.449143,0.0033016,0.01841,0.448041,0
0.0151295,0.21865,0.0742857,0.037622,0.217391,0.688164,0.233765,0.0895853,0.71291,0.256773,0.154517,0.0152665,0.428736,0.00805849,0.0641961,0.448041,0
0.0151295,0.215434,0.0742857,0.0118996,0.217391,0.687297,0.234612,0.0894356,0.712693,0.257431,0.155459,0.0152665,0.428267,0.00805849,0.0641961,0.448041,0
0.0882553,0.22508,0.0685714,0.0266059,0.198757,0.743461,0.224414,0.203707,0.976848,0.0528706,0.195955,0.117977,0.463677,0.00668392,0.0177725,0.448041,0
0.0699256,0.21865,0.08,0.037622,0.285714,0.626246,0.273592,0.0213447,0.452494,0.462197,0.140641,0.222891,0.391237,0.0106557,0,0.449744,0
0.0897909,0.21865,0.08,0.0356922,0.285714,0.617294,0.27499,0.0425201,0.40515,0.50135,0.139172,0.26869,0.384748,0.00249455,0,0.449744,0
0.0526522,0.237942,0.131429,0.114205,0.273292,0.645471,0.25942,0.0199984,0.553414,0.385635,0.147342,0.131292,0.403622,0.0106557,0.0215581,0.449744,0
0.0534908,0.215434,0.114286,0,0.273292,0.636836,0.265935,0.00430741,0.515405,0.415186,0.146515,0.164878,0.398027,0.0106557,0,0.449744,0
0.24198,0.215434,0.0971429,0.037622,0.347826,0.561101,0.202929,0.181537,0.0855675,0.53709,0.142187,0.456424,0.346709,0.00176379,0,0.449744,0
0.0539642,0.221865,0.08,0.0452982,0.285714,0.607083,0.283465,0.0375785,0.420929,0.496432,0.151109,0.253424,0.381145,0.00249455,0,0.449744,0
0.0453885,0.21865,0.0971429,0.0303343,0.223602,0.698778,0.240997,0.145406,0.847494,0.161864,0.191225,0.072576,0.438932,0.0858407,0,0.449744,0
0.00504316,0.228296,0.12,0.00841439,0.223602,0.653873,0.256721,0.0627989,0.654843,0.311637,0.168957,0.0335863,0.411778,0.0198448,0.0641961,0.449744,0
