[Conversion Matrix]
Land use types,type1,type2,type3,type4,type5,type6,type7,total
type1,530.000000,968.000000,8060.000000,2126.000000,212.000000,339.000000,506.000000,12741.000000
type2,381.000000,136405.000000,31866.000000,443.000000,20.000000,780.000000,0.000000,169895.000000
type3,39422.000000,90944.000000,2194767.000000,416473.000000,28606.000000,152446.000000,82570.000000,3005228.000000
type4,210.000000,145.000000,18681.000000,338510.000000,1748.000000,2080.000000,1140.000000,362514.000000
type5,891.000000,969.000000,48762.000000,72580.000000,2659.000000,3538.000000,3237.000000,132636.000000
type6,2125.000000,1670.000000,125862.000000,82930.000000,4980.000000,1281886.000000,7383.000000,1506836.000000
type7,833.000000,0.000000,49188.000000,16307.000000,1186.000000,12430.000000,55931.000000,135875.000000
total,44392.000000,231101.000000,2477186.000000,929369.000000,39411.000000,1453499.000000,150767.000000
[Conversion Probability]
type1,0.041598,0.075975,0.632603,0.166863,0.016639,0.026607,0.039714
type2,0.002243,0.802878,0.187563,0.002607,0.000118,0.004591,0.000000
type3,0.013118,0.030262,0.730316,0.138583,0.009519,0.050727,0.027475
type4,0.000579,0.000400,0.051532,0.933785,0.004822,0.005738,0.003145
type5,0.006718,0.007306,0.367638,0.547212,0.020047,0.026675,0.024405
type6,0.001410,0.001108,0.083527,0.055036,0.003305,0.850714,0.004900
type7,0.006131,0.000000,0.362009,0.120015,0.008729,0.091481,0.411636
[Predict amount]
year,type1,type2,type3,type4,type5,type6,type7
2013,44392.000000,231101.000000,2477186.000000,929369.000000,39411.000000,1453499.000000,150767.000000
2023,38637.323725,266153.632983,2118924.799555,1338790.882098,35736.660372,1384589.728375,142891.972890
2033,33843.980065,283078.289269,1871355.731871,1663836.806013,33838.881048,1309332.706774,130438.604960
2043,30428.047124,288843.377262,1695952.412769,1925620.261358,32576.436594,1233377.423516,118927.041377
2053,27963.451925,287915.778201,1569287.311879,2138954.133781,31736.130335,1160214.403958,109653.789921
